,Momentum Strategy,SPY
CAGR,0.23637401902739263,0.1605904415296957
Annual Return,0.23146794612637123,0.16272188056914547
Annual Volatility,0.2050052261588503,0.17303769792914472
Sharpe Ratio,1.1290831480901664,0.9403839886715127
Max Drawdown,-0.2122365734630091,-0.23927189217962191
