Date,AAPL,AMGN,AMZN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,GS,HD,HON,IBM,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,NVDA,PG,SHW,TRV,UNH,V,VZ,WMT
2018-01-02,40.267066955566406,136.74258422851562,59.45050048828125,88.29241180419922,282.8864440917969,131.29393005371094,102.63438415527344,30.269533157348633,88.64051055908203,106.22453308105469,212.20899963378906,152.64791870117188,116.44697570800781,102.65725708007812,110.13079071044922,85.90125274658203,35.02421951293945,141.8196563720703,147.45985412597656,41.29652786254883,78.69991302490234,56.421844482421875,4.922529697418213,72.28070068359375,127.82568359375,110.09494018554688,191.99392700195312,107.88826751708984,33.71295928955078,28.800235748291016
2018-01-03,40.26005554199219,139.3229217529297,60.209999084472656,88.83676147460938,283.8012390136719,131.4945831298828,103.49940490722656,30.51099967956543,89.2866439819336,106.68058776855469,210.23358154296875,153.44357299804688,115.48486328125,105.47911071777344,111.18285369873047,85.98880004882812,34.94731903076172,141.2220458984375,147.4535675048828,41.237754821777344,79.06615447998047,56.41295623779297,5.246499061584473,72.1930160522461,128.33860778808594,110.4452896118164,194.00794982910156,108.96234130859375,33.020179748535156,29.05146026611328
2018-01-04,40.44707107543945,138.73577880859375,60.47949981689453,90.31437683105469,282.72442626953125,133.30043029785156,104.86576843261719,30.59732437133789,89.00874328613281,106.63310241699219,213.1717987060547,154.6613006591797,117.04549407958984,107.61540985107422,111.17491149902344,87.22064971923828,35.43953323364258,142.2127227783203,149.3810272216797,41.90620422363281,79.7620620727539,56.37739562988281,5.274155139923096,72.70330047607422,127.64030456542969,110.4452896118164,194.85006713867188,109.3674545288086,33.127235412597656,29.077754974365234
2018-01-05,40.90757369995117,139.56239318847656,61.457000732421875,90.52037811279297,294.3222961425781,135.4072723388672,106.26161193847656,31.021099090576172,88.86282348632812,106.05351257324219,212.08450317382812,156.2768096923828,117.86365509033203,108.14118194580078,112.09246826171875,86.66072845458984,35.43183517456055,142.499267578125,150.54495239257812,41.86212158203125,80.7509765625,56.85729217529297,5.318850994110107,72.75115203857422,130.28514099121094,110.24510192871094,198.5655975341797,111.98667907714844,33.051666259765625,29.250099182128906
2018-01-08,40.75563049316406,139.52374267578125,62.34349822998047,89.68753814697266,295.57073974609375,138.8100128173828,107.00870513916016,31.34284019470215,89.30052947998047,104.53327941894531,209.00518798828125,155.90338134765625,117.22725677490234,108.79338836669922,112.23487091064453,86.7887191772461,35.37800598144531,142.40097045898438,150.0568084716797,41.619728088378906,80.83335876464844,57.363834381103516,5.481823921203613,73.13388061523438,131.00814819335938,109.65281677246094,195.11911010742188,112.43893432617188,32.99498748779297,29.682445526123047
2018-01-09,40.7509651184082,141.6714324951172,62.6349983215332,90.01885986328125,303.4615173339844,139.14447021484375,107.29376220703125,31.146642684936523,88.8211441040039,104.45728302001953,210.7730712890625,156.763916015625,118.18939208984375,109.03299713134766,114.01460266113281,87.2286376953125,35.55489730834961,142.0817108154297,150.9892578125,41.722564697265625,80.77843475341797,56.95502471923828,5.480342388153076,72.59964752197266,131.0730743408203,110.50367736816406,196.09141540527344,112.22224426269531,32.87396240234375,29.326053619384766
2018-01-10,40.741607666015625,141.26976013183594,62.71649932861328,90.6457290649414,305.20550537109375,138.67626953125,106.94972229003906,31.319286346435547,89.39087677001953,104.01072692871094,211.09683227539062,155.7085418701172,119.00759887695312,109.26596069335938,113.88013458251953,88.18853759765625,35.43183517456055,142.0571746826172,150.901611328125,42.089839935302734,80.41217803955078,57.070556640625,5.5233073234558105,72.1371841430664,129.62705993652344,110.20336151123047,194.6330108642578,112.09976196289062,32.924922943115234,29.1157169342041
2018-01-11,40.9730224609375,140.57444763183594,63.83399963378906,90.20694732666016,312.6960144042969,141.4603271484375,107.2446060180664,31.468387603759766,92.10748291015625,105.45492553710938,211.76080322265625,158.04660034179688,119.63633728027344,109.2792739868164,114.52874755859375,88.66046905517578,35.40876388549805,141.95892333984375,151.63380432128906,42.31019973754883,80.65025329589844,57.13277053833008,5.5331854820251465,71.88203430175781,131.42840576171875,110.39525604248047,195.66607666015625,112.91001892089844,33.19245147705078,29.21797752380371
2018-01-12,41.39613342285156,142.95387268066406,65.26000213623047,90.42185974121094,320.40576171875,142.37994384765625,108.365234375,32.072654724121094,92.8230972290039,106.86111450195312,213.3378143310547,159.4591827392578,120.50759887695312,108.57379913330078,115.29601287841797,90.12423706054688,35.493370056152344,142.1062469482422,152.98550415039062,43.088829040527344,82.04199981689453,57.47047805786133,5.5060224533081055,71.4514389038086,133.73956298828125,112.38895416259766,198.48744201660156,113.14556884765625,33.033203125,29.466276168823242
2018-01-16,41.18573760986328,143.3401641845703,65.24299621582031,89.85765838623047,319.4051208496094,141.5522918701172,107.03817749023438,31.813688278198242,91.7183837890625,105.16989135742188,214.52468872070312,159.36990356445312,119.61361694335938,109.04631805419922,116.16614532470703,89.80431365966797,35.78561782836914,142.19630432128906,153.1544647216797,45.59364700317383,80.8974609375,56.35962677001953,5.435153484344482,71.93781280517578,130.968017578125,113.04794311523438,202.1856689453125,113.42822265625,32.90581512451172,29.413692474365234
2018-01-17,41.865989685058594,145.2484130859375,64.75,90.23381805419922,334.5099792480469,140.87509155273438,108.16863250732422,32.33161926269531,91.96155548095703,106.38603973388672,210.53236389160156,162.2193603515625,120.007568359375,112.24083709716797,116.26103973388672,90.38024139404297,36.0086669921875,143.26065063476562,155.2633514404297,45.564273834228516,82.53648376464844,56.70621871948242,5.548988342285156,72.71925354003906,131.9165802001953,114.16574096679688,206.98638916015625,114.92627716064453,32.94403076171875,30.0008487701416
2018-01-18,41.90337371826172,144.9239501953125,64.66600036621094,89.42781829833984,324.1700439453125,141.15097045898438,109.86920166015625,32.410091400146484,91.42658233642578,104.91336059570312,208.30789184570312,161.00978088378906,119.53031158447266,112.55361938476562,116.21356964111328,90.59622955322266,36.05479431152344,142.9250030517578,153.8865966796875,44.903167724609375,82.49983215332031,56.972816467285156,5.542073726654053,72.45411682128906,133.0968780517578,114.56612396240234,211.09259033203125,115.99092102050781,32.83574295043945,30.468242645263672
2018-01-19,41.71636962890625,146.2295684814453,64.72899627685547,87.78900909423828,321.8543395996094,143.1332244873047,110.02647399902344,32.402252197265625,91.22508239746094,105.07487487792969,212.58251953125,163.4453125,120.2197265625,108.06134033203125,116.5616226196289,90.39623260498047,36.27014923095703,144.1939697265625,155.30712890625,45.01335525512695,82.40827941894531,59.727699279785156,5.682082176208496,73.1691665649414,133.1092529296875,114.9916000366211,211.25758361816406,115.60462951660156,33.06504821777344,30.552968978881836
2018-01-22,41.375099182128906,148.58587646484375,66.3655014038086,88.04869842529297,322.1116027832031,143.53639221191406,110.97015380859375,32.69259262084961,92.10049438476562,105.55943298339844,217.06454467773438,165.98629760742188,120.10607147216797,108.2143783569336,117.17863464355469,91.45209503173828,36.43935012817383,144.2677001953125,154.75645446777344,44.9913215637207,83.88248443603516,58.99898147583008,5.770482540130615,73.8280029296875,131.99075317382812,116.2428207397461,211.43984985351562,117.1404037475586,34.05236053466797,30.80419158935547
2018-01-23,41.384429931640625,148.3231964111328,68.12699890136719,87.74421691894531,319.81488037109375,142.31007385253906,111.31421661376953,33.03789138793945,91.03056335449219,104.90386199951172,215.8776092529297,166.34352111816406,120.90154266357422,110.6435775756836,112.18742370605469,91.35611724853516,36.49317932128906,144.7589111328125,154.13693237304688,45.321876525878906,84.14801788330078,59.66548538208008,5.899381160736084,71.54623413085938,132.6179962158203,122.0069808959961,212.87220764160156,117.44188690185547,33.905853271484375,30.935638427734375
2018-01-24,40.72523880004883,147.27249145507812,67.87550354003906,88.92634582519531,318.9571838378906,141.39450073242188,110.93083190917969,33.09282684326172,91.2876205444336,104.98934936523438,220.5174102783203,167.4150848388672,121.18944549560547,110.05792236328125,112.37722778320312,92.52394104003906,36.785438537597656,144.1939697265625,155.00051879882812,44.93989944458008,84.07475280761719,60.429752349853516,5.8225836753845215,70.95166778564453,132.67047119140625,123.14148712158203,212.55972290039062,117.34765625,34.53644943237305,30.903505325317383
2018-01-25,39.99825668334961,146.84759521484375,68.89749908447266,89.27560424804688,326.98138427734375,142.2596893310547,110.05596923828125,32.88093948364258,90.77349090576172,105.03687286376953,223.2979736328125,166.72506713867188,122.60604858398438,110.12445831298828,114.22028350830078,92.54796600341797,36.79312515258789,143.8174285888672,157.9229278564453,45.028053283691406,84.54174041748047,60.17204284667969,5.836165904998779,70.97578430175781,131.2121124267578,123.85059356689453,212.84616088867188,117.97892761230469,34.58103942871094,31.14011001586914
